,channel_title,Title,Description,Published_date,Views,Likes,Comments,Month
42,take U forward,L1. Introduction to Sliding Window and 2 Pointers | Templates | Patterns,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,129373,4056,161,Mar
43,take U forward,L8. Smallest Prime Factor (SPF) | Prime Factorisation | Query Based Problem | Maths Playlist,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0oFON1SRGcMqMIhiZ4EXx_F 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-17,16303,538,42,Mar
44,take U forward,L7. Count Prime in a range L-R | Maths Playlist,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0oFON1SRGcMqMIhiZ4EXx_F 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-17,8771,355,15,Mar
45,take U forward,L6. Sieve of Eratosthenes | Maths Playlist,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0oFON1SRGcMqMIhiZ4EXx_F 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-17,25256,953,42,Mar
46,take U forward,L5. Power Exponentiation | Maths Playlist,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0oFON1SRGcMqMIhiZ4EXx_F 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-17,15458,633,37,Mar
47,take U forward,L4. Print all prime factors of a Number | Maths Playlist,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0oFON1SRGcMqMIhiZ4EXx_F 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-17,23976,821,53,Mar
48,take U forward,L3. Check if a Number if Prime or not | Maths Playlist,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0oFON1SRGcMqMIhiZ4EXx_F 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-17,15317,509,22,Mar
49,take U forward,L2. Print all Divisors of a Number | Maths Playlist,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0oFON1SRGcMqMIhiZ4EXx_F 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-17,22172,746,57,Mar
50,take U forward,L9. Divide Two Integers without using Multiplication and Division Operators | Bit Manipulation,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,46676,1500,110,Mar
51,take U forward,L8. XOR of Numbers in a Given Range | Bit Manipulation,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,24335,1335,41,Mar
52,take U forward,L7. Single Number III | Bit Manipulation,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,32096,1313,52,Mar
53,take U forward,L6. Single Number II | Bit Manipulation,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,30339,1339,80,Mar
54,take U forward,L5. Single Number-I | Bit Manipulation,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,23128,1065,24,Mar
55,take U forward,L4. Power Set | Bit Manipulation,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,34226,1390,43,Mar
56,take U forward,L3. Minimum Bit Flips to Convert Number | Bit Manipulation,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,32665,1282,35,Mar
57,take U forward,L2. Must Know Tricks in Bit Manipulation | Swap two numbers without third variable,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,82762,2550,111,Mar
58,take U forward,L1. Introduction to Bit Manipulation | 1's 2's Compliment | Bit Operators,"Notes/Codes/Problem links under day 8 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-09,117144,3785,211,Mar
59,take U forward,Don't watch my A2Z DSA Course,"Get amazing mentors here: https://explore.preplaced.in/6V44yP

In this video, I will be telling you about 

- Why not follow the YT channel
- How to get the best output 
- People misleading about the course
- Do you need to do all 455 modules? 
- What to do apart from this?",2024-03-01,489430,11448,471,Mar
60,take U forward,L28. Design a Browser History | LinkedList Implementation,"Problem Link: https://bit.ly/3tHiY6k

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2024-01-01,45679,1010,100,Jan
61,take U forward,L27. Clone a LinkedList with Next and Random Pointers | Copy List with Random Pointers,"Problem Link: https://tinyurl.com/ytkm6xuz

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2024-01-01,39511,1392,48,Jan
62,take U forward,L26. Sort a Linked List | Merge Sort and Brute Force,"Problem Link: https://bit.ly/4aSKrTF

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2024-01-01,64796,1821,67,Jan
63,take U forward,L24. Flattening a LinkedList | Multiple Approaches with Dry Run,"Problem Link: https://tinyurl.com/2p9ns48e

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2024-01-01,37984,1418,85,Jan
64,take U forward,L25. Merge K Sorted Lists | Multiple Approaches,"Problem Link: https://bit.ly/4aCpvQx

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2024-01-01,31186,1110,44,Jan
